filename,prompt,seed
leaf_large,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Large mature tea leaf, detailed veins.",
leaf_harvested_single,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Harvested tea leaf, slightly curled, ready for drying.",
flower_bud_closed_classic,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. closed tea flower bud in classic style on tea plant.",
flower_bud_closed_delicate,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. closed tea flower bud in delicate style on tea plant.",
flower_bud_closed_bloom,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. closed tea flower bud in bloom style on tea plant.",
flower_bud_half_classic,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. half‑open tea flower bud in classic style on tea plant.",
flower_bud_half_delicate,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. half‑open tea flower bud in delicate style on tea plant.",
flower_bud_half_bloom,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. half‑open tea flower bud in bloom style on tea plant.",
flower_flower_full_front_classic,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. fully open tea blossom, front view in classic style on tea plant.",
flower_flower_full_front_delicate,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. fully open tea blossom, front view in delicate style on tea plant.",
flower_flower_full_front_bloom,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. fully open tea blossom, front view in bloom style on tea plant.",
flower_flower_full_side_classic,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. fully open tea blossom, side view in classic style on tea plant.",
flower_flower_full_side_delicate,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. fully open tea blossom, side view in delicate style on tea plant.",
flower_flower_full_side_bloom,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. fully open tea blossom, side view in bloom style on tea plant.",
overlay_morning_glow_spring,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing soft morning glow in spring.",
overlay_morning_glow_summer,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing soft morning glow in summer.",
overlay_morning_glow_autumn,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing soft morning glow in autumn.",
overlay_morning_glow_winter,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing soft morning glow in winter.",
overlay_noon_light_spring,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing bright noon light in spring.",
overlay_noon_light_summer,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing bright noon light in summer.",
overlay_noon_light_autumn,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing bright noon light in autumn.",
overlay_noon_light_winter,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing bright noon light in winter.",
overlay_dusk_shade_spring,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing muted dusk shade in spring.",
overlay_dusk_shade_summer,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing muted dusk shade in summer.",
overlay_dusk_shade_autumn,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing muted dusk shade in autumn.",
overlay_dusk_shade_winter,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Transparent overlay representing muted dusk shade in winter.",
bg_spring,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Garden backdrop sketch showing subtle spring scenery, distant foliage.",
bg_summer,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Garden backdrop sketch showing subtle summer scenery, distant foliage.",
bg_autumn,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Garden backdrop sketch showing subtle autumn scenery, distant foliage.",
bg_winter,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Garden backdrop sketch showing subtle winter scenery, distant foliage.",
ui_btn_water,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Icon of watering can inside circular outline.",
ui_btn_fertilizer,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Icon of compost scoop inside circular outline.",
ui_btn_prune,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Icon of pruning shears inside circular outline.",
ui_icon_leaf,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Small icon of single tea leaf.",
ui_icon_drop,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Small icon of water droplet.",
ui_icon_clock,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Small icon of clock face.",
ui_icon_trophy,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Small icon of trophy cup.",
ui_alert_good,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Rounded rectangle banner background, positive theme.",
ui_alert_warning,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Rounded rectangle banner background, warning theme.",
ui_alert_bad,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Rounded rectangle banner background, negative theme.",
ladybug_01,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Frame 1 of 4 for ladybug crawling animation, side view.",
ladybug_02,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Frame 2 of 4 for ladybug crawling animation, side view.",
ladybug_03,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Frame 3 of 4 for ladybug crawling animation, side view.",
ladybug_04,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Frame 4 of 4 for ladybug crawling animation, side view.",
aphid_cluster_01,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Small cluster of aphids on tea leaf, density variant 1.",
aphid_cluster_02,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Small cluster of aphids on tea leaf, density variant 2.",
goat_idle,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Cartoon goat standing idle, side view.",
goat_chew_1,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Cartoon goat chewing, frame 1 of 3.",
goat_chew_2,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Cartoon goat chewing, frame 2 of 3.",
goat_chew_3,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Cartoon goat chewing, frame 3 of 3.",
goat_scared,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Cartoon goat startled, jumping back.",
drop_01,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Single water droplet shape, variant 1.",
drop_02,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Single water droplet shape, variant 2.",
drop_03,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Single water droplet shape, variant 3.",
drop_04,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Single water droplet shape, variant 4.",
drop_05,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Single water droplet shape, variant 5.",
splash_01,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Water splash, frame 1 of 3.",
splash_02,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Water splash, frame 2 of 3.",
splash_03,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Water splash, frame 3 of 3.",
fert_puff_01,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Small dust fertilizer puff, frame 1 of 3.",
fert_puff_02,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Small dust fertilizer puff, frame 2 of 3.",
fert_puff_03,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Small dust fertilizer puff, frame 3 of 3.",
badge_first_leaf,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Circular badge celebrating first leaf harvested.",
badge_full_bloom,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Circular badge celebrating full plant bloom.",
badge_100_leaves,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Circular badge for harvesting 100 leaves.",
logo_nur_natur,"Finely shaded colored pencil sketch, cross‑hatched, on clean ivory paper, no color, no text, no signature, 300 dpi. Hand‑lettered title 'Nur Natur', elegant cursive lettering.",
